Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
The Elder Scrolls IV: Oblivion Remastered,Xbox Series X|S,22/04/2025,NA,Bethesda Softworks,Bethesda Game Studios,The Elder Scrolls,Action RPG,,,The Elder Scrolls IV: Oblivion Remastered,The Elder Scrolls IV: Oblivion Remastered,,,,The Elder Scrolls IV: Oblivion Remastered,,,,,,,,
Assassin's Creed Shadows,PlayStation 5,20/03/2025,NA,Ubisoft,Ubisoft Quebec,Assassin's Creed,Action Adventure,,,Assassin's Creed Shadows,Assassin's Creed Shadows,,,,Assassin's Creed Shadows,,,Assassin's Creed: Shadows,,,,,
Assassin's Creed Nexus VR,Oculus Quest,16/11/2023,NA,Ubisoft,Red Storm Entertainment,Assassin's Creed,Action Adventure,,,,Assassin's Creed Nexus VR,,,,Assassin's Creed Nexus VR,,,,,,,,
Trine 4: The Nightmare Prince,PC,08/10/2019,NA,Modus Games,Frozenbyte,Trine,Puzzle Platformer,,,Trine 4: The Nightmare Prince,Trine 4: The Nightmare Prince,Trine 4: The Nightmare Prince,,,Trine 4: The Nightmare Prince,,,,,Trine 4: The Nightmare Prince,,,
Final Fantasy Dimensions,iOS,31/08/2012,NA,Square Enix,Matrix Software,Final Fantasy,Turn-Based RPG,,,Final Fantasy Dimensions,Final Fantasy Dimensions,Final Fantasy Dimensions,,,Final Fantasy Dimensions,,,,,,,,
Mass Effect Legendary Edition,PlayStation 4,14/05/2021,NA,Electronic Arts,BioWare,Mass Effect,Action RPG,,,Mass Effect Legendary Edition,Mass Effect Legendary Edition,,,,Mass Effect Legendary Edition,,,Mass Effect: Legendary Edition,,,,,
Command & Conquer: Remastered Collection,PC,05/06/2020,NA,Electronic Arts,Petroglyph,Command & Conquer,Real-Time Strategy,,,Command & Conquer Remastered Collection,Command & Conquer Remastered Collection,Command & Conquer: Remastered Collection,,,,,,,,Command & Conquer: Remastered Collection,,,
Borderlands Legendary Collection,Nintendo Switch,29/05/2020,NA,2K Games,Gearbox Software,Borderlands,First-Person Shooter,,,Borderlands Legendary Collection,Borderlands Legendary Collection,,,,Borderlands Legendary Collection,,,Borderlands: Legendary Collection,,Borderlands Legendary Collection,,,
The Walking Dead: Saints & Sinners,PC,23/01/2020,NA,Skydance Interactive,Skydance Interactive,The Walking Dead,First-Person Shooter,,,The Walking Dead: Saints & Sinners,The Walking Dead: Saints & Sinners,The Walking Dead: Saints & Sinners,,,The Walking Dead: Saints & Sinners,,,,,,,,
Fire Emblem Fates: Conquest,Nintendo 3DS,19/02/2016,NA,Nintendo,Intelligent Systems,Fire Emblem,Strategy RPG,,,Fire Emblem Fates: Conquest,Fire Emblem Fates: Conquest,Fire Emblem Fates: Conquest,,,,,,Fire Emblem Fates: Conquest,,,,,
Helldivers,PC,07/12/2015,NA,Sony Computer Entertainment,Arrowhead Game Studios,,Shooter,,,Helldivers,Helldivers,Helldivers,,,Helldivers,,,,,HELLDIVERS,,,
Alien: Isolation,PC,07/10/2014,NA,Sega,Creative Assembly,Alien,Survival Horror,,,Alien: Isolation,Alien: Isolation,Alien: Isolation,,,,,,,,,,,
Mercenary Kings,PC,25/03/2014,NA,Tribute Games,Tribute Games,,Shooter,,,Mercenary Kings,Mercenary Kings,Mercenary Kings,,,Mercenary Kings,,Mercenary Kings,,,Mercenary Kings,,,
Shin Megami Tensei IV,Nintendo 3DS,16/07/2013,NA,Atlus USA,Atlus,Megami Tensei,Turn-Based RPG,,,Shin Megami Tensei IV,Shin Megami Tensei IV,Shin Megami Tensei IV,,,Shin Megami Tensei IV,,Shin Megami Tensei IV,Shin Megami Tensei IV,,,,,
Kokuga,Nintendo 3DS,27/06/2013,NA,G.rev,G.rev,,Twin-Stick Shooter,,,Kokuga,Kokuga,Kokuga,,,Kokuga,,,,,,,,
New Super Mario Bros. U,Nintendo Wii U,18/11/2012,NA,Nintendo,Nintendo EAD,Mario,Side-Scrolling Platformer,,,New Super Mario Bros. U,New Super Mario Bros. U,New Super Mario Bros. U,,,New Super Mario Bros. U,,New Super Mario Bros. U,New Super Mario Bros. U,,New Super Mario Bros. U,,,
Super Meat Boy,Xbox 360,20/10/2010,NA,Team Meat,Team Meat,Meat Boy,Side-Scrolling Platformer,,,Super Meat Boy,Super Meat Boy,Super Meat Boy,,,,,,,,,,,
Persona 3 Reload,PlayStation 5,02/02/2024,NA,Sega,P-Studio,Megami Tensei,Turn-Based RPG,,,,Persona 3 Reload,,,,Persona 3 Reload,,,Persona 3 Reload,,,,,
Star Ocean: The Divine Force,PlayStation 5,27/10/2022,NA,Square Enix,tri-Ace,Star Ocean,Action RPG,,,,Star Ocean: The Divine Force,Star Ocean: The Divine Force,,,Star Ocean: The Divine Force,,,Star Ocean: The Divine Force,,,,,
Chrono Cross: The Radical Dreamers Edition,Nintendo Switch,07/04/2022,AS,Square Enix,Square Enix,Chrono,Turn-Based RPG,,,Chrono Cross: The Radical Dreamers Edition,,Chrono Cross: The Radical Dreamers Edition,,,Chrono Cross,,,Chrono Cross: The Radical Dreamers Edition,,,,,
Sifu,PlayStation 5,08/02/2022,NA,Sloclap,Sloclap,,Beat 'em Up,,,Sifu,SIFU,Sifu,,,,,,Sifu [Vengeance Edition],,,,,
Collection of SaGa: Final Fantasy Legend,PC,21/10/2021,NA,Square Enix,Square Enix,SaGa,Turn-Based RPG,,,Collection of SaGa: Final Fantasy Legend,,,,,,,,,,,,,
Moero Chronicle,PC,16/08/2017,NA,Idea Factory International,Compile Heart,Genkai Tokki,Dungeon Crawler,,,Moero Chronicle,Moero Chronicle,Moero Chronicle,,,Moero Chronicle,,,,,,,,
StarCraft: Remastered,PC,14/08/2017,NA,Blizzard Entertainment,Blizzard Entertainment,StarCraft,Real-Time Strategy,,,StarCraft: Remastered,Starcraft Remastered,StarCraft: Remastered,,,StarCraft: Remastered,,,,,,,,
Divinity: Original Sin,PC,30/06/2014,NA,Larian Studios,Larian Studios,Divinity,Action RPG,,,Divinity: Original Sin,Divinity: Original Sin,Divinity: Original Sin,,,Divinity: Original Sin,,Divinity: Original Sin,,,Divinity: Original Sin,,,
The Ico & Shadow of the Colossus Collection,PlayStation 3,27/09/2011,NA,Sony Computer Entertainment,SIE Japan Studio,,Action Adventure,,,The Ico & Shadow of the Colossus Collection,The ICO & Shadow of the Colossus Collection,The Ico & Shadow of the Colossus Collection,,,The Ico & Shadow of the Colossus Collection,,,ICO & Shadow of the Colossus Collection,,,,,
Shin Megami Tensei: Persona 3 FES,PlayStation 2,22/04/2008,NA,Atlus,Atlus,Megami Tensei,Turn-Based RPG,,,Persona 3 FES,Shin Megami Tensei: Persona 3 FES,Shin Megami Tensei: Persona 3 FES,,,Shin Megami Tensei: Persona 3 FES,,,,,,,,
Xenosaga Episode I: Der Wille zur Macht,PlayStation 2,25/02/2003,NA,Namco,Monolith Soft,Xeno,Turn-Based RPG,,,Xenosaga Episode I: Der Wille zur Macht,Xenosaga Episode I: Der Wille zur Macht,,,,Xenosaga Episode I: Der Wille zur Macht,,Xenosaga Episode I: Der Wille zur Macht,,,,,,
Atlyss,PC,Early Access,NA,KisSoft,KisSoft,,Action Adventure,,,Atlyss,,,,,,,,,,,,,
Baldi's Basics Plus,PC,Early Access,NA,Basically Games,Basically Games,Baldi's Basics,Survival Horror,,,Baldi's Basics Plus,,,,,,,,,,,,,
Dimensional Slaughter,PC,Early Access,NA,"Bashir ""ManliestDev"" Kashalo","Bashir ""ManliestDev"" Kashalo",,First-Person Shooter,,,Dimensional Slaughter,,,,,,,,,,,,,
Eden Survivors,PC,Early Access,NA,Aeternum Game Studio,Aeternum Game Studio,,Roguelike,,,Eden Survivors,,,,,,,,,,,,,
Force Reboot,PC,Early Access,NA,In404,In404,,Roguelike,,,Force Reboot,,Force Reboot,,,,,,,,,,,
Gloomwood,PC,Early Access,NA,New Blood Interactive,Dillon Rogers,,Stealth Action,,,Gloomwood,,Gloomwood,,,,,,,,,,,
HYPERVIOLENT,PC,Early Access,NA,Fulqrum Publishing,Terminist Arcade,,First-Person Shooter,,,HyperViolent,,Hyperviolent,,,,,,,,,,,
Mars First Logistics,PC,Early Access,NA,Shape Shop,Shape Shop,,Simulation,,,Mars First Logistics,,,,,,,,,,Mars First Logistics,,,
One Lonely Outpost,PC,Early Access,NA,indie.io,indie.io,,Simulation,,,One Lonely Outpost,,One Lonely Outpost,,,,,,,,,,,
Re:|THM - once upon a time,PC,Early Access,NA,Boyagers Games,Boyagers Games,,Rhythm,,,Rethm: Once Upon a Time,,,,,,,,,,,,,
Repetendium,PC,Early Access,NA,Bearlex Games,Bearlex Games,,Roguelike,,,Repetendium,,Repetendium,,,,,,,,,,,
Shelley Manor,PC,Early Access,NA,ESAT,Tiny Terrors Studio,,Action Adventure,,,Shelley Manor,,,,,,,,,,,,,
SilverQuest: Gaiden,PC,Early Access,NA,Wolfgame,Wolfgame,,Dungeon Crawler,,,SilverQuest: Gaiden,,SilverQuest: Gaiden,,,,,,,,,,,
Sky: Children of the Light,PC,Early Access,NA,thatgamecompany,thatgamecompany,,MMORPG,,,,,Sky: Children of the Light,,,,,,,,Sky: Children of the Light,,,
Soulslinger: Envoy of Death,PC,Early Access,NA,Headup,Elder Games,,First-Person Shooter,,,Soulslinger: Envoy of Death,,Soulslinger: Envoy of Death,,,,,,,,,,,
Survivors of the Dawn,PC,Early Access,NA,indieGiant,indieGiant,,Roguelike,,,Survivors of the Dawn,,,,,,,,,,,,,
SWORDCAR,PC,Early Access,NA,Rogue Labs,SpaceMicroscope Studios,,Vehicular Combat,,,Swordcar,,,,,,,,,,,,,
The Void Rains Upon Her Heart,PC,Early Access,NA,The Hidden Levels,Veyeral Games,,Scrolling Shooter,,,The Void Rains Upon Her Heart,,The Void Rains upon Her Heart,,,,,,,,,,,
ULTRAKILL,PC,Early Access,NA,New Blood Interactive,"Arsi ""Hakita"" Patala",,First-Person Shooter,,,Ultrakill,,Ultrakill,,,,,,,,,,,
Viscerafest,PC,Early Access,NA,Fulqrum Publishing,Acid Man Games,,First-Person Shooter,,,Viscerafest,,Viscerafest,,,,,,,,,,,
Voxatron,PC,Early Access,NA,Lexaloffle Games,Lexaloffle Games,,Shooter,,,Voxatron,,,,,,,,,,,,,
Manor Lords,PC,Early Access,NA,Hooded Horse,Slavic Magic,,Simulation,,,Manor Lords,,,,,,,Manor Lords,,,,,,
Elemental Survivors,PC,Early Access,NA,Samobee Games,Samobee Games,,Roguelike,,,Elemental Survivors,,,,,,,,,,,,,
"Neko Ghost, Jump!",PC,Early Access,NA,Burgos Games,Burgos Games,,3D Platformer,,,"Neko Ghost, Jump!",,,,,,,,,,,,,
Fatal Fury: City of the Wolves,PlayStation 5,24/04/2025,NA,SNK Corporation,SNK Corporation,Fatal Fury,Fighting,,,Fatal Fury: City of the Wolves,Fatal Fury: City of the Wolves,,,,Fatal Fury: City of the Wolves,,,,,,,,
Clair Obscur: Expedition 33,PlayStation 5,24/04/2025,NA,Kepler Interactive,Sandfall Interactive,,Turn-Based RPG,,,Clair Obscur: Expedition 33,Clair Obscur: Expedition 33,,,,,,,Clair Obscur: Expedition 33,,,,,
The Hundred Line: Last Defense Academy,Nintendo Switch,24/04/2025,NA,Xseed Games,Too Kyo Games,,Strategy RPG,,,The Hundred Line: Last Defense Academy,The Hundred Line: Last Defense Academy,,,,,,,Hundred Line: Last Defense Academy,,,,,
Lunar Remastered Collection,Nintendo Switch,18/04/2025,NA,GungHo,GungHo,Lunar,Turn-Based RPG,,,Lunar Remastered Collection,Lunar Remastered Collection,,,,,,,Lunar Remastered Collection,,,,,
Lunar Remastered Collection,PlayStation 4,18/04/2025,NA,GungHo,GungHo,Lunar,Turn-Based RPG,,,Lunar Remastered Collection,Lunar Remastered Collection,,,,,,,LUNAR Remastered Collection,,,,,
South of Midnight,Xbox Series X|S,08/04/2025,NA,Xbox Game Studios,Compulsion Games,,Action Adventure,,,South of Midnight,South of Midnight,,,,South of Midnight,,,,,,,,
Atomfall,Xbox Series X|S,27/03/2025,NA,Fireshine Games,Rebellion,,Action Adventure,,,Atomfall,Atomfall,,,,Atomfall,,,,,,,,
The First Berserker: Khazan,PlayStation 5,27/03/2025,NA,Nexon,Neople,Dungeon Fighter,Action RPG,,,The First Berserker: Khazan,The First Berserker: Khazan,,,,The First Berserker: Khazan,,,First Berserker: Khazan,,,,,
Ascent DX,PC,26/03/2025,NA,Apskeppet,Apskeppet,,Metroidvania,,,Ascent DX,,,,,Ascent DX,,,,,,,,
Atelier Yumia: The Alchemist of Memories & the Envisioned Land,PlayStation 5,21/03/2025,NA,Koei Tecmo Games,Gust,Atelier,Turn-Based RPG,,,Atelier Yumia: The Alchemist of Memories & the Envisioned Land,Atelier Yumia: The Alchemist of Memories & The Envisioned Land,,,,,,,Atelier Yumia: The Alchemist of Memories & the Envisioned Land,,,,,
Xenoblade Chronicles X: Definitive Edition,Nintendo Switch,20/03/2025,NA,Nintendo,Monolith Soft,Xeno,Action RPG,,,Xenoblade Chronicles X: Definitive Edition,Xenoblade Chronicles X: Definitive Edition,,,,Xenoblade Chronicles X: Definitive Edition,,,Xenoblade Chronicles X [Definitive Edition],,,,,
qualia,PC,13/03/2025,NA,CMY2K,CMY2K,,Text Adventure,,,Qualia,,,,,,,,,,,,,
Beyond the Ice Palace II,Nintendo Switch,11/03/2025,NA,PQube,Storybird,Beyond the Ice Palace,Metroidvania,,,Beyond the Ice Palace II,,,,,,,,Beyond the Ice Palace II,,,,,
Broken Sword Collection,Evercade,09/03/2025,NA,Evercade,Revolution Software,Broken Sword,Compilation,,,Broken Sword Collection,,,,,,,,Broken Sword Collection,,,,,
Indie Heroes Collection 4,Evercade,09/03/2025,NA,Blaze Entertainment,Blaze Entertainment,Indie Heroes,Compilation,,,Indie Heroes Collection 4,,,,,,,,Indie Heroes Collection 4,,,,,
Rogue: Genesia,PC,07/03/2025,NA,iolaCorp Studio,Huard Ouadi,,Roguelike,,,Rogue: Genesia,,,,,Rogue: Genesia,,,,,,,,
Suikoden I & II HD Remaster: Gate Rune & Dunan Unification Wars,Nintendo Switch,06/03/2025,NA,Konami,Konami,Suikoden,Strategy RPG,,,Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars,Suikoden I & II HD Remaster: Gate Rune and Dunan Unification Wars,,,,,,,Suikoden I & II - HD Remaster: Gate Rune & Dunan Unification Wars [Day One Edition],,,,,
Slumbering Feline,PC,06/03/2025,NA,The Flavare,The Flavare,,Metroidvania,,,Slumbering Feline,,,,,,,,,,,,,
Ever 17 / Never 7 Double Pack,Nintendo Switch,06/03/2025,AS,Spike Chunsoft,Mages.,infinity,Visual Novel,,,,,,,,,,,Ever 17 / Never 7 Double Pack,,,,,
Yu-Gi-Oh! Early Days Collection,Nintendo Switch,27/02/2025,NA,Konami,Digital Eclipse,Yu-Gi-Oh!,Compilation,,,Yu-Gi-Oh! Early Days Collection,Yu-Gi-Oh! Early Days Collection,,,,,,,Yu-Gi-Oh! Early Days Collection,,,,,
Stories from Sol: The Gun-Dog,PlayStation 5,20/02/2025,NA,PM Studios,Space Colony Studios,,Visual Novel,,,Stories from Sol: The Gun-Dog,,,,,Stories from Sol: The Gun-Dog,,,Stories from Sol: The Gun-Dog,,,,,Stories from Sol: The Gun-Dog
Avowed,Xbox Series X|S,18/02/2025,NA,Xbox Game Studios,Obsidian Entertainment,Pillars of Eternity,Action RPG,,,Avowed,Avowed,,,,Avowed,,,,,,,,
The Legend of Heroes: Trails Through Daybreak II,Nintendo Switch,14/02/2025,NA,NIS America,Falcom,The Legend of Heroes,Turn-Based RPG,,,The Legend of Heroes: Trails through Daybreak II,The Legend of Heroes: Trails through Daybreak II,,,,The Legend of Heroes: Trails through Daybreak II,,,Legend of Heroes: Trails through Daybreak II [Deluxe Edition],,,,,
Cosmic Fantasy Collection 2,Nintendo Switch,13/02/2025,NA,Edia Co.,Blue Print,Cosmic Fantasy,Turn-Based RPG,,,Cosmic Fantasy Collection 2,,,,,,,,Cosmic Fantasy Collection 2,,,,,
Croak Crusader: Spawn of the Spore Spectre,PC,07/02/2025,NA,2 Left Thumbs,TunawareDevs,Croak Crusader,Action Platformer,,,Croak Crusader: Spawn of the Spore Spectre,,,,,,,,,,,,,
Atropos,PC,02/02/2025,NA,Nikita Kryukov,Purple Tea Studio,,Visual Novel,,,Atropos,,,,,,,,,,,,,Atropos
Phantom Brave: The Lost Hero,Nintendo Switch,30/01/2025,NA,NIS America,Nippon Ichi Software,Phantom Brave,Strategy RPG,,,Phantom Brave: The Lost Hero,Phantom Brave: The Lost Hero,,,,,,,Phantom Brave: The Lost Hero [Deluxe Edition],,,,,
Cuisineer,Nintendo Switch,28/01/2025,NA,Xseed Games,BattleBrew Productions,,Action Adventure,,,Cuisineer,,,,,Cuisineer,,,Cuisineer [Day One Edition],,,,,
Neptunia Riders vs. Dogoos,Nintendo Switch,28/01/2025,NA,Idea Factory International,Compile Heart,Hyperdimension Neptunia,Action Adventure,,,Neptunia Riders vs. Dogoos,Neptunia Riders VS Dogoos,,,,,,,Neptunia Riders Vs Dogoos,,,,,
Mika and the Witch's Mountain,PC,22/01/2025,NA,Chibig,Chibig,,Action Adventure,,,Mika and the Witch's Mountain,,,,,,,,,,,,,
Donkey Kong Country Returns HD,Nintendo Switch,16/01/2025,NA,Nintendo,Forever Entertainment,Donkey Kong Country,Side-Scrolling Platformer,,,Donkey Kong Country Returns HD,Donkey Kong Country Returns HD,,,,Donkey Kong Country Returns,,,Donkey Kong Country Returns HD,,,,,
Ys Memoire: The Oath in Felghana,Nintendo Switch,07/01/2025,NA,XSEED Games,Falcom,Ys,Action RPG,,,Ys Memoire: The Oath in Felghana,Ys Memoire: The Oath in Felghana,,,,,,,,,,,,
Vampire Survivors: Emerald Diorama,PC,10/04/2025,NA,poncle,poncle,Vampire Survivors,Roguelike,,,Vampire Survivors: Emerald Diorama,,,,,,,,,,,,,
Tokyo Clanpool,Nintendo Switch,19/12/2024,AS,EastAsiaSoft,Compile Heart,,Turn-Based RPG,,,Tokyo Clanpool,,,,,,,,Tokyo Clanpool,,,,,
Pocket Mystery EP DX,PC,17/12/2024,NA,Kohococoa Design Works,Kohococoa Design Works,,Adventure,,,Pocket Mystery EP DX,,,,,,,,,,,,,
Flint: Treasure of Oblivion,PlayStation 5,17/12/2024,NA,Microids,Savage Level,,Turn-Based Tactics,,,Flint: Treasure of Oblivion,Flint: Treasure of Oblivion,,,,,,,Flint: Treasure of Oblivion,,,,,
Awaria,PC,16/12/2024,NA,vanripper,vanripper,,Action Adventure,,,Awaria,,,,,Awaria,,,,,,,,
"Brok: Natal Tail, A New Christmas",PC,13/12/2024,NA,COWCAT,COWCAT,Brok the InvestiGator,Adventure,,,"Brok: Natal Tail, A New Christmas",,,,,,,,,,,,,"BROK - Natal Tail, A New Christmas"
The Cabin Factory,PC,13/12/2024,NA,Future Friends Games,International Cat Studios,,Survival Horror,,,The Cabin Factory,The Cabin Factory,,,,The Cabin Factory,,,,,,,,
Fairy Tail 2,Nintendo Switch,13/12/2024,NA,Koei Tecmo Games,Gust,Fairy Tail,Turn-Based RPG,,,Fairy Tail 2,Fairy Tail 2,,,,Fairy Tail 2,,,Fairy Tail 2,,,,,
Metal Dragon / Life on Mars,Evercade,12/12/2024,NA,Evercade,Kai Magazine Software,,Compilation,,,,,,,,,,,,,,,,
Toaplan Arcade 4,Evercade,12/12/2024,NA,Evercade,Tatsujin,Toaplan Arcade,Compilation,,,,,,,,,,,Toaplan Arcade 4,,,,,
Skydance's Behemoth,PlayStation 5,05/12/2024,NA,Skydance Interactive,Skydance Interactive,,Action Adventure,,,Skydance's Behemoth,Skydance's BEHEMOTH,,,,Skydance's Behemoth,,,Skydance's Behemoth,,,,,
Data East Arcade 2,Evercade,28/11/2024,NA,Evercade,Data East,Data East,Compilation,,,Data East Arcade 2,,,,,,,,,,,,,
Toaplan Arcade 3,Evercade,28/11/2024,NA,Evercade,Tatsujin,Toaplan Arcade,Compilation,,,,,,,,,,,,,,,,
PockeDate! - Pocket Dating Simulator,PC,27/11/2024,NA,TERNOX,TERNOX,,Visual Novel,,,PockeDate!: Pocket Dating Simulator,,,,,PockeDate! - Pocket Dating Simulator,,,,,,,,PockeDate! - Pocket Dating Simulator
Neon Blood,PC,25/11/2024,NA,Meridiem Games,ChaoticBrain Studios,,Adventure,,,Neon Blood,Neon Blood,,,,,,,,,,,,Neonovaja krov'
Wild Country,PC,25/11/2024,NA,Lost Native,Lost Native,,Card Game,,,Wild Country,,,,,,,,,,,,,
Spirit Mancer,PC,22/11/2024,NA,Dear Villagers,Sunny Syrup Studio,,Action Platformer,,,Spirit Mancer,Spirit Mancer,,,,Spirit Mancer,,,,,,,,
Zero to Dance Hero,Nintendo Switch,21/11/2024,NA,Aksys Games,Imagineering,,Rhythm,,,Zero to Dance Hero,,,,,,,,Zero to Dance Hero,,,,,
S.T.A.L.K.E.R. 2: Heart of Chornobyl,Xbox Series X|S,20/11/2024,NA,GSC Game World,GSC Game World,S.T.A.L.K.E.R.,First-Person Shooter,,,S.T.A.L.K.E.R. 2: Heart of Chornobyl,S.T.A.L.K.E.R. 2: Heart of Chornobyl,,,,S.T.A.L.K.E.R. 2: Heart of Chornobyl,,,S.T.A.L.K.E.R. 2: Heart of Chornobyl,,,,,
Goblin Slayer -Another Adventurer- Nightmare Feast,Nintendo Switch,15/11/2024,NA,Red Art Games,ApolloSoft,Goblin Slayer,Strategy RPG,,,Goblin Slayer Another Adventurer: Nightmare Feast,,,,,,,,,,,,,
Dragon Quest III HD-2D Remake,Nintendo Switch,14/11/2024,NA,Square Enix,Artdink,Dragon Quest,Turn-Based RPG,,,Dragon Quest III: HD-2D Remake,Dragon Quest III HD-2D Remake,,,,Dragon Quest III HD-2D Remake,,,Dragon Quest III HD-2D Remake,,,,,
LEGO Horizon Adventures,Nintendo Switch,14/11/2024,NA,PlayStation Publishing,Studio Gobo,Horizon,Action Adventure,,,LEGO Horizon Adventures,LEGO Horizon Adventures,,,,LEGO Horizon Adventures,,,LEGO Horizon Adventures,,,,,
Ty the Tasmanian Tiger: Bush Rescue Bundle,Nintendo Switch,08/11/2024,NA,Krome Studios,Krome Studios,Ty the Tasmanian Tiger,Compilation,,,,,,,,,,,TY the Tasmanian Tiger: Bush Rescue Bundle,,,,,
Slitterhead,PlayStation 5,08/11/2024,NA,XSEED Games,Bokeh Game Studio,,Survival Horror,,,Slitterhead,Slitterhead,,,,Slitterhead,,,,,,,,
Mario & Luigi: Brothership,Nintendo Switch,07/11/2024,NA,Nintendo,Acquire,Mario & Luigi,Turn-Based RPG,,,Mario & Luigi: Brothership,Mario & Luigi: Brothership,,,,Mario & Luigi: Brothership,,Mario & Luigi: Brothership,Mario & Luigi: Brothership,,,,,
Beyond the Marion,PC,06/11/2024,NA,Placebo Entertainment,Placebo Entertainment,,Adventure,,,Beyond the Marion,,,,,,,,,,,,,
Metal Slug Tactics,Nintendo Switch,05/11/2024,NA,DotEmu,Leikir Studio,Metal Slug,Strategy RPG,,,Metal Slug Tactics,Metal Slug Tactics,,,,,,,Metal Slug Tactics,,,,,
Farmagia,Nintendo Switch,01/11/2024,NA,Marvelous,Marvelous,,Turn-Based RPG,,,Farmagia,Farmagia,,,,Farmagia,,,Farmagia [Day One Edition],,,,,
Pixel Ripped: Dot's Double Pack,PlayStation 5,01/11/2024,NA,Limited Run Games,Arvore Immersive Experiences,Pixel Ripped,Compilation,,,,,,,,,,,Pixel Ripped: Dot’s Double Pack,,,,,
Reel Fishing: Days of Summer,Nintendo Switch,31/10/2024,NA,Natsume,Natsume,Reel Fishing,Sports,,,,,,,,,,,Reel Fishing: Days of Summer,,,,,
Dragon Age: The Veilguard,PlayStation 5,31/10/2024,NA,Electronic Arts,BioWare,Dragon Age,Action RPG,,,Dragon Age: The Veilguard,Dragon Age: The Veilguard,,,,Dragon Age: The Veilguard,,,Dragon Age: The Veilguard,,,,,
Clock Tower: Rewind,Nintendo Switch,29/10/2024,NA,WayForward Technologies,WayForward Technologies,Clock Tower,Survival Horror,,,Clock Tower: Rewind,Clock Tower: Rewind,,,,,,,Clock Tower: Rewind,,,,,
Devilated,PC,28/10/2024,NA,Neon Doctrine,Trunka,,First-Person Shooter,,,Devilated,,,,,Devilated,,,,,,,,
Sonic x Shadow Generations,Nintendo Switch,25/10/2024,NA,Sega,Sonic Team,Sonic the Hedgehog,Side-Scrolling Platformer,,,Sonic X Shadow Generations,Sonic x Shadow Generations,,,,,,,Sonic X Shadow Generations,,,,,
Ys X: Nordics,PlayStation 5,25/10/2024,NA,NIS America,Falcom,Ys,Action RPG,,,Ys X: Nordics,Ys X: Nordics,,,,,,,Ys X: Nordics [Deluxe Edition],,,,,
Call of Duty: Black Ops 6,Xbox Series X|S,25/10/2024,NA,Activision,Treyarch,Call of Duty,First-Person Shooter,,,Call of Duty: Black Ops 6,Call of Duty: Black Ops 6,,,,Call of Duty: Black Ops 6,,,,,,,,
Romancing SaGa 2: Revenge of the Seven,Nintendo Switch,24/10/2024,NA,Square Enix,Xeen,SaGa,Turn-Based RPG,,,Romancing SaGa 2: Revenge of the Seven,Romancing SaGa 2: Revenge of the Seven,,,,Romancing SaGa 2: Revenge of the Seven,,,Romancing SaGa 2: Revenge of the Seven,,,,,
Forgive Me Father 2,PC,24/10/2024,NA,Fulqrum Publishing,Byte Barrel,Forgive Me Father,First-Person Shooter,,,Forgive Me Father 2,Forgive Me Father 2,,,,Forgive Me Father 2,,,,,,,,
RetroRealms Double Feature: Halloween and Ash vs Evil Dead,Nintendo Switch,18/10/2024,NA,Boss Team Games,WayForward Technologies,Halloween,Compilation,,,RetroRealms Double Feature: Halloween + Ash vs. Evil Dead,,,,,,,,,,,,,
Unknown 9: Awakening,PlayStation 5,18/10/2024,NA,Bandai Namco Games,Reflector,,Action Adventure,,,Unknown 9: Awakening,Unknown 9: Awakening,,,,Unknown 9: Awakening,,,Unknown 9: Awakening,,,,,
Teenage Mutant Ninja Turtles: Mutants Unleashed,Nintendo Switch,18/10/2024,NA,Outright Games,AHEARTFULOFGAMES,Teenage Mutant Ninja Turtles,Action Adventure,,,Teenage Mutant Ninja Turtles: Mutants Unleashed,Teenage Mutant Ninja Turtles: Mutants Unleashed,,,,,,,,,,,,
Super Mario Party Jamboree,Nintendo Switch,17/10/2024,NA,Nintendo,Nd Cube,Mario Party,Minigame Collection,,,Super Mario Party Jamboree,Super Mario Party Jamboree,,,,Super Mario Party Jamboree,,Super Mario Party Jamboree,Super Mario Party Jamboree,,,,,
A Quiet Place: The Road Ahead,PlayStation 5,17/10/2024,NA,Saber Interactive,Stormind Games,A Quiet Place,Survival Horror,,,A Quiet Place: The Road Ahead,A Quiet Place: The Road Ahead,,,,A Quiet Place: The Road Ahead,,,Quiet Place: The Road Ahead,,,,,
Arsene Lupin: Once A Thief,PlayStation 5,17/10/2024,NA,Microids,Blazing Griffin,,Adventure,,,Arsene Lupin: Once a Thief,,,,,,,,Arsene Lupin: Once a Thief,,,,,
Squirrel with a Gun,PlayStation 5,15/10/2024,NA,Maximum Enterainment,Dee Dee Creations,,Third-Person Shooter,,,Squirrel with a Gun,Squirrel with a Gun,,,,Squirrel with a Gun,,,,,,,,
Neva,Nintendo Switch,15/10/2024,NA,Devolver Digital,Nomada Studio,,Action Adventure,,,Neva,Neva,,,,,,,Neva,,,,,
