Title,Platform,Release Date,Release Region,Publisher,Developer,Franchise,Genre,Game Faqs Match Title,Giant Bomb Match Title,Igdb Match Title,Metacritic Match Title,Moby Games Match Title,Rom Hacking Match Title,Steam Match Title,Hltb Match Title,Price Charting Match Title,Vg Chartz Match Title,Gameye Match Title,Game Jolt Match Title,Cooptimus Match Title,Arcade Database Match Title,Game Spot Match Title,Vndb Match Title
Devastator,Sega CD,28/05/1993,JP,Wolf Team,Wolf Team,,Action Platformer,,,,,Devastator,,,,,,,,,,,
Mr. Gimmick,NES,19/05/1993,NA,Sunsoft,Sunsoft,,Side-Scrolling Platformer,,,,,Mr. Gimmick,,,,,,,,,,,
Gaiapolis,Arcade,01/05/1993,NA,Konami,Konami,,Action RPG,,,,,Gaiapolis,,,,,,,,,,,
Sorcer Striker,Arcade,01/05/1993,EU,Capcom,Raizing,Mahō Daisakusen,Scrolling Shooter,,,,,Sorcer Striker,,,,,,,,,Sorcer Striker,,
Kirby's Adventure,NES,01/05/1993,NA,Nintendo,HAL Laboratory,Kirby,Side-Scrolling Platformer,,,,,Kirby's Adventure,,,,,,,,,,,
Master of Darkness,Sega Master System,01/05/1993,EU,Sega,SIMS,,Action Platformer,,,,,Vampire: Master of Darkness,,,,,,,,,,,
Alien³,SNES,01/05/1993,NA,LJN,Probe Entertainment,Alien,Run and Gun,,,,,Alien³,,,,,,,,,,,
Bubsy in: Claws Encounters of the Furred Kind,SNES,01/05/1993,NA,Accolade,Accolade,Bubsy,Side-Scrolling Platformer,,,,,Bubsy in: Claws Encounters of the Furred Kind,,,,,,,,,,,
Congo's Caper,SNES,01/05/1993,NA,Data East,Data East,Joe & Mac,Action Platformer,,,,,Congo's Caper,,,,,,,,,,,
MechWarrior,SNES,01/05/1993,NA,Activision,Beam Software,BattleTech,Vehicular Combat,,,,,MechWarrior,,,,,,,,,,,
Super Turrican,SNES,01/05/1993,NA,Seika Corporation,Factor 5,Turrican,Run and Gun,,,,,Super Turrican,,,,,,,,,,,
Koko Adventure,NES,01/05/1993,KO,Daou Infosys,Open Corp.,,Side-Scrolling Platformer,,,,,,,,,,,,,,,,
The Lost Vikings,SNES,29/04/1993,NA,Interplay Entertainment,Silicon & Synapse,The Lost Vikings,Puzzle Platformer,,,,,The Lost Vikings,,,,,,,,,,,
Ryūki Heidan Danzarb,SNES,23/04/1993,JP,Yutaka,Pandora Box,,Turn-Based RPG,,,,,,,,,,,,,,,,
Samurai Aces,Arcade,22/04/1993,NA,Banpresto,Psikyo,Sengoku Ace,Scrolling Shooter,,,,,Samurai Aces,,,,,,,,,,,
Sengoku 2,Neo-Geo,09/04/1993,NA,SNK,SNK,Sengoku,Beat 'em Up,,,,,Sengoku 2,,,,,,,,,,,
Cybernator,SNES,04/04/1993,NA,Konami,NCS Corp,Assault Suit,Action,,,,,Cybernator,,,,,,,,,,,
Cybattler,Arcade,01/04/1993,NA,Jaleco,Jaleco,,Scrolling Shooter,,,,,Cybattler,,,,,,,,,Cybattler,,
Lucky & Wild,Arcade,01/04/1993,JP,Namco,Namco,,Rail Shooter,,,,,Lucky & Wild,,,,,,,,,Lucky & Wild,,
Hired Guns,Commodore Amiga,01/04/1993,NA,Psygnosis,DMA Design,,Action RPG,,,,,Hired Guns,,,,,,,,,,,
Ninja Boy 2,Game Boy,01/04/1993,NA,Culture Brain,Culture Brain,Super Chinese,Action RPG,,,,,Ninja Boy 2,,,,,,,,,,,
Tiny Toon Adventures 2: Trouble in Wackyland,NES,01/04/1993,NA,Konami,Konami,Tiny Toon Adventures,Action Platformer,,,,,Tiny Toon Adventures 2: Trouble in Wackyland,,,,,,,,,,,
Dark Sun: Shattered Lands,PC,01/04/1993,NA,Strategic Simulations,Strategic Simulations,Dungeons & Dragons,Computer RPG,,,,,Dark Sun: Shattered Lands,,,,,,,,,,,
The 7th Guest,PC,01/04/1993,NA,Virgin Interactive Entertainment,Trilobyte,The 7th Guest,Adventure,,,,,The 7th Guest,,,,,,,,,,,
Batman Returns,SNES,01/04/1993,NA,Konami,Konami,Batman,Beat 'em Up,,,,,Batman Returns,,,,,,,,,,,
Anett Futatabi,Sega CD,30/03/1993,JP,Wolf Team,Wolf Team,El Viento,Beat 'em Up,,,,,Anett Futatabi,,,,,,,,,,,
Étoile Princesse,Sharp X68000,26/03/1993,JP,Exact,Exact,,Scrolling Shooter,,,,,Étoile Princesse,,,,,,,,,,,
Neugier: Umi to Kaze no Kōdō,SNES,26/03/1993,JP,Telenet Japan,Wolf Team,,Turn-Based RPG,,,,,Neugier: Umi to Kaze no Kōdō,,,,,,,,,,,
Shadow of the Comet,PC,25/03/1993,NA,Infogrames,Infogrames,Prisoner of Ice,Adventure,,,,,Call of Cthulhu: Shadow of the Comet,,,,,,,,,,,
Ultima VII Part Two: Serpent Isle,PC,25/03/1993,NA,Origin Systems,Origin Systems,Ultima,Computer RPG,,,,,,,,,,,,,,,,
Splatterhouse 3,Sega Genesis,18/03/1993,NA,Namco,Now Production,Splatterhouse,Beat 'em Up,,,,,Splatterhouse 3,,,,,,,,,,,
Brandish 2: The Planet Buster,NEC PC-9801,12/03/1993,JP,Nihon Falcom,Nihon Falcom,Brandish,Action RPG,,,,,Brandish 2: The Planet Buster,,,,,,,,,,,
Edo no Kiba,SNES,12/03/1993,JP,Micro World,Riot,,Action,,,,,Edo no Kiba,,,,,,,,,,,
Fire 'n Ice,NES,11/03/1993,NA,Tecmo,Tecmo,Solomon's Key,Puzzle,,,,,Fire 'n Ice,,,,,,,,,,,
Brawl Brothers,SNES,11/03/1993,NA,Jaleco Entertainment,Jaleco Entertainment,Rushing Beat,Beat 'em Up,,,,,Brawl Brothers,,,,,,,,,,,
Fatal Fury 2,Neo-Geo,05/03/1993,NA,SNK,SNK,Fatal Fury,Fighting,,,,,Fatal Fury 2,,,,,,,,,,,
Albert Odyssey,SNES,05/03/1993,JP,Sunsoft,Sunsoft,Albert Odyssey,Turn-Based RPG,,,,,Albert Odyssey,,,,,,,,,,,
Ihatovo Monogatari,SNES,05/03/1993,JP,Hect,Hect,,Action Adventure,,,,,Ihatovo Monogatari,,,,,,,,,,,
JoJo no Kimyō na Bōken,SNES,05/03/1993,JP,Cobra Team,Winkysoft,JoJo's Bizarre Adventure,Turn-Based RPG,,,,,Jojo no Kimyō na Bōken,,,,,,,,,,,
Metal Max 2,SNES,05/03/1993,JP,Data East,Crea-Tech,Metal Max,Turn-Based RPG,,,,,Metal Max 2,,,,,,,,,,,
Zen: Intergalactic Ninja,NES,01/03/1993,NA,Konami,Konami,,Action Platformer,,,,,Zen: Intergalactic Ninja,,,,,,,,,,,
The Chaos Engine,PC,01/03/1993,NA,Renegade Software,The Bitmap Brothers,The Chaos Engine,Shooter,,,,,,,,,,,,,The Chaos Engine,,,
Elemental Master,Sega Genesis,01/03/1993,NA,Renovation Products,Tecno Soft,,Scrolling Shooter,,,,,Elemental Master,,,,,,,,,,,
X-Men,Sega Genesis,01/03/1993,NA,Sega,Western Technologies,X-Men,Action,,,,,X-Men,,,,,,,,,,,
Inindo: Way of the Ninja,SNES,01/03/1993,NA,Koei,Koei,Nobunaga's Ambition,Strategy RPG,,,,,Inindo: Way of the Ninja,,,,,,,,,,,
King Arthur's World,SNES,01/03/1993,NA,Jaleco Entertainment,Argonaut Games,King Arthur,Real-Time Strategy,,,,,King Arthur's World,,,,,,,,,,,
Wolfchild,Sega Genesis,01/03/1993,NA,JVC Musical Industries,Core Design,,Action Platformer,,,,,,,,,,,,,,,,
Xerd no Densetsu II,Game Boy,19/02/1993,JP,Vic Tokai,Graphic Research,Xerd no Densetsu,Turn-Based RPG,,,,,,,,,,,,,,,,
Space Quest V: Roger Wilco - The Next Mutation,PC,05/02/1993,NA,Sierra Entertainment,Dynamix,Space Quest,Adventure,,,,,,,,,,,,,,,,
GeGeGe no Kitarō: Fukkatsu! Tenma Daiō,SNES,05/02/1993,JP,Bandai,BEC,GeGeGe no Kitarō,Action,,,,,,,,,,,,,,,,
Romance of the Three Kingdoms III: Dragon of Destiny,SNES,04/02/1993,NA,Koei,Koei,Romance of the Three Kingdoms,Turn-Based Strategy,,,,,Romance of the Three Kingdoms III: Dragon of Destiny,,,,,,,,,,,
Walker,Commodore Amiga,01/02/1993,EU,Psygnosis,DMA Design,,Run and Gun,,,,,Walker,,,,,,,,,,,
Adventure Island II: Aliens in Paradise,Game Boy,01/02/1993,NA,Hudson Soft,Now Production,Adventure Island,Side-Scrolling Platformer,,,,,,,,,,,,,,,,
Harley's Humongous Adventure,SNES,01/02/1993,NA,Hi Tech Expressions,Visual Concepts,,Action Platformer,,,,,Harley's Humongous Adventure,,,,,,,,,,,
Super Valis IV,SNES,01/02/1993,NA,Razorsoft,Telenet Japan,Valis,Action Platformer,,,,,Super Valis IV,,,,,,,,,,,
Tiny Toon Adventures: Buster Busts Loose!,SNES,01/02/1993,NA,Konami,Konami,Tiny Toon Adventures,Side-Scrolling Platformer,,,,,Tiny Toon Adventures: Buster Busts Loose!,,,,,,,,,,,
Metamor Jupiter,TurboGrafx-CD,22/01/1993,JP,NEC Home Electronics,Flight-Plan,,Scrolling Shooter,,,,,,,,,,,,,,,,
Kamen Rider SD: GranShocker no Yabou,NES,22/01/1993,JP,Angel,Angel,Kamen Rider,Board Game,,,,,,,,,,,,,,,,
Edge,NEC PC-9801,15/01/1993,JP,Technical Group Laboratory,Technical Group Laboratory,,Beat 'em Up,,,,,Edge,,,,,,,,,,,
Major Stryker,PC,15/01/1993,NA,Apogee Software,Apogee Software,,Scrolling Shooter,,,,,Major Stryker,,,,,,,,,,,
The Journeyman Project,Mac OS,06/01/1993,NA,Presto Studios,Presto Studios,The Journeyman Project,Adventure,,,,,The Journeyman Project,,,,,,,,,,,
Escape from Monster Manor,3DO,01/01/1993,NA,Electronic Arts,Studio 3DO,,Survival Horror,,,,,Escape from Monster Manor,,,,,,,,,,,
Technodream,Acorn Archimedes,01/01/1993,EU,Superior Software,Psyche,,Scrolling Shooter,,,,,,,,,,,,,,,,
Apple Jack,Amstrad PCW,01/01/1993,EU,Keith Boothroyd,Keith Boothroyd,,Action,,,,,,,,,,,,,,,,
Ancient Glory,Apple IIGS,01/01/1993,NA,Big Red Computer Club,Westwood Associates,,Beat 'em Up,,,,,,,,,,,,,,,,
Air Assault,Arcade,01/01/1993,JP,Irem,Irem,,Scrolling Shooter,,,,,Air Assault,,,,,,,,,,,
